book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
1874,419,3,1563,163,1,14,2007,109,1
1106,230,3,25083,692,10,7,2014,101,7
2557,379,9,23220,543,6,38,2007,8,3
1229,264,8,20158,180,5,11,2007,83,4
2423,8,8,438,190,10,8,2011,142,5
2030,41,9,9493,689,9,8,2001,45,2
1911,72,4,52,571,9,48,2019,136,5
2209,440,9,13892,578,5,5,2000,177,6
2685,415,2,11866,547,8,37,2002,82,6
1077,425,4,22920,510,10,8,2010,155,6
670,375,4,13994,180,7,12,2018,152,1
2231,336,1,8560,144,1,9,2021,83,1
1785,320,6,13398,580,5,50,2004,92,5
1859,116,5,20990,334,3,12,2018,83,3
110,437,10,7387,605,3,6,2020,103,3
412,182,8,16609,242,4,14,2018,34,3
1739,300,6,17962,81,3,49,2003,195,4
782,86,2,3625,622,3,14,2002,167,2
408,122,10,20957,494,10,19,2014,150,2
2221,267,10,13136,628,2,21,2010,20,2
454,431,7,24103,513,7,14,2001,19,6
2148,206,6,17269,600,5,43,2015,4,7
2728,205,5,15836,90,5,22,2003,163,6
1855,4,9,25195,691,9,50,2005,72,6
926,81,4,186,489,8,25,2000,156,6
2673,249,6,1833,267,8,26,2012,135,2
1741,442,6,8757,388,6,20,2014,50,6
2147,51,7,23906,157,1,22,2008,78,2
1938,123,5,5548,235,9,23,2005,99,5
2605,99,7,8524,134,5,46,2004,24,6
2319,28,3,14648,446,9,21,2020,14,5
1415,257,1,21153,121,3,10,2012,96,6
2391,91,9,28494,139,3,4,2014,14,5
1229,253,8,12494,184,10,36,2019,155,6
1768,54,10,22757,674,10,22,2008,177,6
2290,66,4,7504,125,9,21,2004,194,4
799,115,7,21650,382,8,17,2014,2,4
2766,428,9,26318,236,4,40,2016,55,1
1340,450,7,17894,627,3,44,2018,132,3
1494,171,8,17830,414,2,1,2011,11,5
61,73,9,6666,331,5,33,2003,154,7
1149,204,7,14246,191,6,12,2007,174,2
2827,53,8,8975,258,1,34,2019,12,6
